# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 384
1 1.000000 0.774230 -0.009717 48000 384
2 1.414214 0.731907 -0.007474 96000 384
3 1.732051 0.716659 -0.005168 64000 384
4 2.000000 0.715725 -0.008025 48000 384
5 2.236068 0.705298 -0.007196 192000 384
6 2.449490 0.700600 -0.005495 192000 384
8 2.828427 0.693199 -0.005786 96000 384
9 3.000000 0.692522 -0.004965 240000 384
10 3.162278 0.691759 -0.004432 192000 384
11 3.316625 0.690266 -0.003742 192000 384
12 3.464102 0.687601 -0.004770 64000 384
13 3.605551 0.686512 -0.003670 192000 384
14 3.741657 0.685675 -0.004311 384000 384
16 4.000000 0.687463 -0.001957 48000 384
17 4.123106 0.684641 -0.002892 384000 384
18 4.242641 0.684146 -0.002573 288000 384
19 4.358899 0.681918 -0.005461 192000 384
20 4.472136 0.682907 -0.001341 192000 384
21 4.582576 0.682279 -0.002286 384000 384
22 4.690416 0.681946 -0.004279 192000 384
24 4.898979 0.681271 -0.003273 192000 384
25 5.000000 0.680597 -0.002433 240000 384
26 5.099020 0.680469 -0.002798 576000 384
27 5.196152 0.680190 -0.002936 256000 384
29 5.385165 0.679652 -0.003432 576000 384
30 5.477226 0.678866 -0.001345 384000 384
32 5.656854 0.676923 -0.001849 96000 384
33 5.744563 0.677761 -0.002466 384000 384
34 5.830952 0.677499 -0.002259 384000 384
35 5.916080 0.677006 -0.001779 384000 384
36 6.000000 0.677515 -0.003271 240000 384
37 6.082763 0.679184 -0.001373 192000 384
38 6.164414 0.677523 -0.002152 576000 384
40 6.324555 0.678046 -0.000450 192000 384
41 6.403124 0.676742 -0.001624 768000 384
42 6.480741 0.676283 -0.002401 384000 384
43 6.557439 0.676719 -0.003278 192000 384
44 6.633250 0.675427 -0.001445 192000 384
45 6.708204 0.675873 -0.002267 576000 384
46 6.782330 0.676081 -0.001454 384000 384
48 6.928203 0.675532 -0.001510 64000 384
49 7.000000 0.675463 -0.001824 432000 384
50 7.071068 0.675769 -0.001974 672000 384
51 7.141428 0.675542 -0.001597 384000 384
52 7.211103 0.676262 -0.002051 192000 384
53 7.280110 0.675727 -0.001549 576000 384
54 7.348469 0.675436 -0.002049 768000 384
56 7.483315 0.674822 -0.001558 384000 384
57 7.549834 0.675053 -0.001099 384000 384
58 7.615773 0.675619 -0.000445 192000 384
59 7.681146 0.675030 -0.002238 576000 384
61 7.810250 0.674719 -0.001251 576000 384
62 7.874008 0.675028 -0.001261 768000 384
64 8.000000 0.671299 -0.003387 48000 384
65 8.062258 0.674401 -0.001785 768000 384
66 8.124038 0.674485 -0.002168 768000 384
67 8.185353 0.675622 -0.001636 192000 384
68 8.246211 0.674194 -0.001715 384000 384
69 8.306624 0.674896 -0.002477 768000 384
70 8.366600 0.674826 -0.003141 384000 384
72 8.485281 0.674870 -0.002289 288000 384
73 8.544004 0.674862 -0.001050 384000 384
74 8.602325 0.675046 -0.001551 960000 384
75 8.660254 0.674917 -0.000870 448000 384
76 8.717798 0.675687 -0.001050 192000 384
77 8.774964 0.674340 -0.002211 768000 384
78 8.831761 0.675326 -0.001262 384000 384
80 8.944272 0.675034 -0.001794 192000 384

# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 64
1 1.000000 0.964200 -0.001559 48000 64
2 1.414214 0.956875 -0.001179 96000 64
3 1.732051 0.953893 -0.000689 64000 64
4 2.000000 0.953569 -0.002533 48000 64
5 2.236068 0.951447 -0.001633 192000 64
6 2.449490 0.950495 -0.001260 192000 64
8 2.828427 0.948778 -0.001548 96000 64
9 3.000000 0.948508 -0.001536 240000 64
10 3.162278 0.947955 -0.002862 192000 64
11 3.316625 0.947617 -0.002343 192000 64
12 3.464102 0.947116 -0.000770 64000 64
13 3.605551 0.946345 -0.002042 192000 64
14 3.741657 0.946261 -0.001656 384000 64
16 4.000000 0.945393 -0.004702 48000 64
17 4.123106 0.945179 -0.002579 384000 64
18 4.242641 0.944692 -0.003159 288000 64
19 4.358899 0.944142 -0.001393 192000 64
20 4.472136 0.943798 -0.003244 192000 64
21 4.582576 0.943723 -0.002833 384000 64
22 4.690416 0.942981 -0.000587 192000 64
24 4.898979 0.942582 -0.001969 192000 64
25 5.000000 0.942343 -0.003218 240000 64
