LOCAL ORDER: 
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
4 2.000000 0.231238 72000 384
5 2.236068 0.200970 288000 384
6 2.449490 0.181768 288000 384
8 2.828427 0.156294 144000 384
9 3.000000 0.149146 360000 384
10 3.162278 0.144561 288000 384
11 3.316625 0.135137 288000 384
12 3.464102 0.125941 96000 384
13 3.605551 0.123684 288000 384
14 3.741657 0.117434 576000 384
16 4.000000 0.113358 72000 384
17 4.123106 0.107390 576000 384
18 4.242641 0.102821 432000 384
19 4.358899 0.100480 288000 384
20 4.472136 0.099328 288000 384
21 4.582576 0.093694 576000 384
22 4.690416 0.089823 288000 384
24 4.898979 0.084707 288000 384
25 5.000000 0.086995 360000 384
26 5.099020 0.084089 864000 384
27 5.196152 0.081187 384000 384
29 5.385165 0.076931 864000 384
30 5.477226 0.076620 576000 384
32 5.656854 0.077815 144000 384
33 5.744563 0.071897 576000 384
34 5.830952 0.070311 576000 384
35 5.916080 0.070333 576000 384
36 6.000000 0.067628 360000 384
37 6.082763 0.071673 288000 384
38 6.164414 0.066322 864000 384
40 6.324555 0.066097 288000 384
41 6.403124 0.064105 1152000 384
42 6.480741 0.064297 576000 384
43 6.557439 0.058469 288000 384
44 6.633250 0.060251 288000 384
45 6.708204 0.060218 864000 384
46 6.782330 0.061393 576000 384
48 6.928203 0.051266 96000 384
49 7.000000 0.057589 648000 384
50 7.071068 0.056966 1008000 384
51 7.141428 0.060916 576000 384
52 7.211103 0.060278 288000 384
53 7.280110 0.057817 864000 384
54 7.348469 0.056258 1152000 384
56 7.483315 0.051641 576000 384
57 7.549834 0.050581 576000 384
58 7.615773 0.058358 288000 384
59 7.681146 0.053725 864000 384
61 7.810250 0.050447 864000 384
62 7.874008 0.054149 1152000 384
64 8.000000 0.059569 72000 384
65 8.062258 0.052979 1152000 384
66 8.124038 0.051490 1152000 384
67 8.185353 0.049636 288000 384
68 8.246211 0.048344 576000 384
69 8.306624 0.052832 1152000 384
70 8.366600 0.042693 576000 384
72 8.485281 0.052625 432000 384
73 8.544004 0.052585 576000 384
74 8.602325 0.050609 1440000 384
75 8.660254 0.049797 672000 384
76 8.717798 0.044264 288000 384
77 8.774964 0.044128 1152000 384
78 8.831761 0.046238 576000 384
80 8.944272 0.054583 288000 384

Moves: 6000 CageStrain: 1.000000 T: 384 Landau: 0.033407
CageStrain: 1.000000 T: 896 DMAX: 10.605115 new_DMAX: 10.639313 variance: 9.798997 mean: -0.352957
CageStrain: 1.000000 T: 896 DMAX: 10.639313 new_DMAX: 10.639313 variance: 9.798997 mean: -0.352957
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 896
1 1.000000 0.119123 72000 896
2 1.414214 0.027991 144000 896
3 1.732051 0.008336 96000 896
4 2.000000 0.020754 72000 896
5 2.236068 0.009333 288000 896
6 2.449490 0.005329 288000 896
8 2.828427 0.006401 144000 896
9 3.000000 0.002592 360000 896
10 3.162278 0.002160 288000 896
11 3.316625 -0.000158 288000 896
12 3.464102 -0.001626 96000 896
13 3.605551 0.003097 288000 896
14 3.741657 0.002000 576000 896
16 4.000000 0.000214 72000 896
17 4.123106 0.000665 576000 896
18 4.242641 -0.001928 432000 896
19 4.358899 0.000285 288000 896
20 4.472136 0.001287 288000 896
21 4.582576 0.001552 576000 896
22 4.690416 -0.000341 288000 896
24 4.898979 0.002293 288000 896
25 5.000000 0.002580 360000 896
26 5.099020 0.001090 864000 896
27 5.196152 -0.001189 384000 896
29 5.385165 0.000157 864000 896
30 5.477226 -0.001378 576000 896
32 5.656854 0.004093 144000 896
33 5.744563 0.001621 576000 896
34 5.830952 -0.001103 576000 896
35 5.916080 -0.000076 576000 896
36 6.000000 -0.000427 360000 896
37 6.082763 0.000544 288000 896
38 6.164414 -0.000310 864000 896
40 6.324555 -0.001650 288000 896
41 6.403124 -0.002152 1152000 896
42 6.480741 -0.002041 576000 896
43 6.557439 -0.001783 288000 896
44 6.633250 -0.001400 288000 896
45 6.708204 -0.001614 864000 896
46 6.782330 -0.002041 576000 896
48 6.928203 -0.003869 96000 896
49 7.000000 -0.000724 648000 896
50 7.071068 -0.001305 1008000 896
51 7.141428 -0.000807 576000 896
52 7.211103 0.001072 288000 896
53 7.280110 0.000257 864000 896
54 7.348469 -0.001367 1152000 896
56 7.483315 -0.000760 576000 896
57 7.549834 -0.001873 576000 896
58 7.615773 -0.001380 288000 896
59 7.681146 -0.000906 864000 896
61 7.810250 -0.002358 864000 896
62 7.874008 -0.000534 1152000 896
64 8.000000 0.000986 72000 896
65 8.062258 -0.000389 1152000 896
66 8.124038 -0.000784 1152000 896
67 8.185353 0.001246 288000 896
68 8.246211 -0.000111 576000 896
69 8.306624 0.000163 1152000 896
70 8.366600 -0.002959 576000 896
72 8.485281 0.000197 432000 896
73 8.544004 -0.000460 576000 896
74 8.602325 0.000146 1440000 896
75 8.660254 -0.001395 672000 896
76 8.717798 -0.000051 288000 896
77 8.774964 0.000486 1152000 896
78 8.831761 -0.000783 576000 896
80 8.944272 -0.003022 288000 896

Moves: 7000 CageStrain: 1.000000 T: 896 Landau: 0.000211
CageStrain: 1.000000 T: 64 DMAX: 10.639313 new_DMAX: 11.816239 variance: 27.818769 mean: -0.578773
CageStrain: 1.000000 T: 64 DMAX: 11.816239 new_DMAX: 11.816239 variance: 27.818769 mean: -0.578773
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 64
1 1.000000 0.890757 72000 64
2 1.414214 0.845660 144000 64
3 1.732051 0.811490 96000 64
4 2.000000 0.787084 72000 64
5 2.236068 0.757608 288000 64
6 2.449490 0.731249 288000 64
8 2.828427 0.685907 144000 64
9 3.000000 0.665019 360000 64
10 3.162278 0.646285 288000 64
11 3.316625 0.626539 288000 64
12 3.464102 0.606359 96000 64
13 3.605551 0.590058 288000 64
14 3.741657 0.573386 576000 64
16 4.000000 0.543416 72000 64
17 4.123106 0.527523 576000 64
18 4.242641 0.513519 432000 64
19 4.358899 0.499779 288000 64
20 4.472136 0.486701 288000 64
21 4.582576 0.473987 576000 64
22 4.690416 0.461998 288000 64
24 4.898979 0.438831 288000 64
25 5.000000 0.428827 360000 64
26 5.099020 0.417967 864000 64
27 5.196152 0.406675 384000 64
29 5.385165 0.388541 864000 64
30 5.477226 0.378615 576000 64
32 5.656854 0.364418 144000 64
33 5.744563 0.354710 576000 64
34 5.830952 0.346733 576000 64
35 5.916080 0.339082 576000 64
36 6.000000 0.331228 360000 64
37 6.082763 0.319808 288000 64
38 6.164414 0.315973 864000 64
40 6.324555 0.300748 288000 64
41 6.403124 0.297003 1152000 64
42 6.480741 0.293879 576000 64
43 6.557439 0.286478 288000 64
44 6.633250 0.277898 288000 64
45 6.708204 0.275502 864000 64
46 6.782330 0.268407 576000 64
48 6.928203 0.260107 96000 64
49 7.000000 0.252800 648000 64
50 7.071068 0.248566 1008000 64
51 7.141428 0.242758 576000 64
52 7.211103 0.242347 288000 64
53 7.280110 0.235253 864000 64
54 7.348469 0.229886 1152000 64
56 7.483315 0.225409 576000 64
57 7.549834 0.218748 576000 64
58 7.615773 0.213602 288000 64
59 7.681146 0.211912 864000 64
61 7.810250 0.208563 864000 64
62 7.874008 0.203900 1152000 64
64 8.000000 0.183763 72000 64
65 8.062258 0.192483 1152000 64
66 8.124038 0.188497 1152000 64
